YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.557516014	-nan	1	0.002067565918	0.0004540751411	0.0006637573242	0.001403808594	0	0	0	0.000139244656	0.000314830485	0	0	0	0.0007057189941	0.0001531669922	0.001361846924	0.0003009081489	6	4	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	20	0	3.05015223	-nan	1.5	0.003860473633	0.000856239373	0.002258300781	0.001602172852	0	0	0	0.0005026527168	0.0003535866562	0	0	0	0.001457214355	0.0003285705023	0.002403259277	0.0005276688707	16	4	0	0	0	0	10	10
3	1	3	0.389226738	1	1	0.8285824209	0	0	30	0	5.649622392	-nan	2	0.007011413574	0.001596040613	0.002273312947	0.004738100627	0	0	0	0.0005334236567	0.001062616956	0	0	0	0.002891293904	0.0006638733135	0.00412011967	0.0009321672994	17	13	0	0	0	0	15	15
4	4	3.5	1.689495122	0.5	0.5134096739	0.9296957644	0.00390625	0	40	0	8.783783104	-nan	2.5	0.0110206604	0.002488638521	0.002727382667	0.008293277733	0	0	0	0.0006130316959	0.001875606825	0	0	0	0.004947536476	0.001106062654	0.006073123925	0.001382575867	18	22	0	0	0	0	20	20
5	6	3.833333333	2.791613738	0.3333333333	0.3470155097	0.9316924558	0.0078125	0	50	0	12.46712626	-nan	3	0.01575469971	0.003525022441	0.003249460272	0.01250523943	0	0	0	0.0007400377572	0.002784984684	0	0	0	0.007869058661	0.001780098663	0.007885641046	0.001744923778	20	30	0	0	0	0	25	25
6	15	4.2	7.041728043	0.3333333333	0.328355964	0.9424689756	0.015625	0	60	0	16.45056844	-nan	3.5	0.02075958252	0.004643575617	0.003805986505	0.01695359601	0	0	0	0.0008510843134	0.003792491303	0	0	0	0.01122703661	0.002497723503	0.009532545914	0.002145852114	23	37	0	0	0	0	30	30
7	22	5	11.32428167	0.3636363636	0.3330362382	0.9760394425	0.017578125	0	70	0	20.83147597	-nan	4	0.02633666992	0.005899065642	0.004137172622	0.0221994973	0	0	0	0.0009162798359	0.004982785807	0	0	0	0.01497522435	0.003319463471	0.01136144557	0.002579602172	26	44	0	0	0	0	35	35
8	26	6.076923077	15.04912843	0.3076923077	0.2794487694	0.9789731933	0.01953125	0	79	0	25.65535046	-nan	4.506329114	0.03245162964	0.007311781305	0.003901483175	0.0262689575	0.002281188965	0	0	0.0008769448695	0.00593317797	0.0005016584651	0	0	0.01837125599	0.004148675336	0.01408037365	0.003163105969	26	51	2	0	0	0	40	39
9	33	7.151515152	20.58009779	0.3333333333	0.2849700576	0.985855383	0.0234375	1	88	0.05857969933	32.04461751	1	5.045454545	0.04071807861	0.009228362049	0.004936516548	0.02989391374	0.005887648327	0	0	0.001137290121	0.006773740706	0.001317331222	0	0	0.02372915971	0.00537905723	0.0169889189	0.003849304819	29	55	5	0	0	0	45	44
10	38	7.868421053	26.1195188	0.3421052632	0.2793529179	0.9853312208	0.02734375	0	98	0	39.20559754	-nan	5.489795918	0.04930496216	0.01131196078	0.003226617596	0.02946750237	0.01661084219	0	0	0.0007811621995	0.006795631093	0.003735167489	0	0	0.03020238965	0.006884102333	0.0191025725	0.004427858449	22	62	14	0	0	0	49	49
