YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0.00390625	0	10	0	1.590649795	-nan	1	0.002052307129	0.0007640391258	0.0008010864258	0.001251220703	0	0	0	0.0003004368309	0.0004636022949	0	0	0	0.001026153564	0.0003699988245	0.001026153564	0.0003940403013	6	4	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0.0078125	0	20	0	3.665397545	-nan	1.5	0.004730224609	0.001720998424	0.002216339111	0.002513885498	0	0	0	0.0007929393759	0.0009280590479	0	0	0	0.002250671387	0.0008246297549	0.002479553223	0.0008963686689	13	7	0	0	0	0	10	10
3	2	3	0.7928111253	0	0	0.9027925703	0.009765625	0	30	0	5.805648043	-nan	2	0.00724029541	0.002712641412	0.002243041992	0.004997253418	0	0	0	0.0008431632395	0.001869478172	0	0	0	0.003597259521	0.001332676169	0.003643035889	0.001379965243	16	14	0	0	0	0	15	15
4	3	3.666666667	1.450192581	0	0	0.9573731828	0.01171875	0	39	0	8.451383666	-nan	2.512820513	0.01057815552	0.003975487563	0.002840717046	0.007737438472	0	0	0	0.001066717697	0.002908769866	0	0	0	0.005412327855	0.002038426198	0.005165827662	0.001937061365	19	20	0	0	0	0	20	19
5	8	4.125	3.804010955	0.25	0.2152708207	0.9512024315	0.015625	0	49	0	11.84785828	-nan	3	0.01488113403	0.005569202369	0.00319026162	0.01169087241	0	0	0	0.001168518929	0.00440068344	0	0	0	0.007863784538	0.002928876941	0.007017349495	0.002640325428	20	29	0	0	0	0	25	24
6	10	5	5.36147179	0.3	0.244073054	0.972378598	0.01953125	0	58	0	15.6108175	-nan	3.465517241	0.01973342896	0.007377742308	0.003143645208	0.01658978375	0	0	0	0.001182200713	0.006195541595	0	0	0	0.01077012537	0.00400789954	0.008963303589	0.003369842768	20	38	0	0	0	0	30	28
7	16	5.6875	8.864677118	0.3125	0.2539200138	0.98204076	0.01953125	0	68	0	20.23938184	-nan	3.955882353	0.02546310425	0.009589350697	0.003533095416	0.01871939723	0.003210611598	0	0	0.001316074907	0.007069543729	0.001203732061	0	0	0.01424806658	0.005358093869	0.01121503767	0.004231256828	22	43	3	0	0	0	35	33
8	27	5.777777778	15.00100209	0.2592592593	0.2203329876	0.9720732705	0.0234375	1	76	0.05516673148	25.61846562	5	4.447368421	0.03261947632	0.01222247865	0.002665178049	0.02616081029	0.00379348798	0	0	0.001017922906	0.009770294598	0.001434261142	0	0	0.01909004046	0.007121913331	0.01352943586	0.005100565315	18	56	3	0	0	0	39	38
9	33	6.454545455	20.20122755	0.303030303	0.241692538	0.9836289155	0.03515625	1	86	0.05621326702	32.26200617	6	4.930232558	0.04154205322	0.01544434369	0.003555021579	0.03026126669	0.007725764952	0	0	0.001302430534	0.01123220716	0.002909705996	0	0	0.02476910562	0.009173992231	0.0167729476	0.006270351455	20	61	6	0	0	0	44	43
10	38	7.342105263	25.71775189	0.3157894737	0.2418091457	0.9890297813	0.04296875	0	97	0	39.6139922	-nan	5.432989691	0.05053329468	0.01902102578	0.004239340163	0.03402038004	0.01227357448	0	0	0.001595247897	0.01280675834	0.004619019538	0	0	0.03095842533	0.01160328974	0.01957486934	0.007417736039	24	64	9	0	0	0	49	48
11	49	7.959183673	34.25712499	0.3469387755	0.2602046983	0.980589288	0.0546875	1	104	0.1250406153	46.8448891	1	5.913461538	0.05988693237	0.02270874234	0.002933429452	0.03828260456	0.01867089836	0	0	0.001175067671	0.01453175414	0.007001920535	0	0	0.03719468508	0.01402645908	0.02269224729	0.008682283257	20	72	13	0	0	0	53	52
12	55	8.545454545	41.22073152	0.3636363636	0.2692479044	0.973860154	0.06640625	1	112	0.126938691	54.4594155	2	6.330357143	0.06982803345	0.02651131753	0.003873105926	0.03607930864	0.02750669188	0.002368927002	0	0.0015484034	0.0137034296	0.01037873993	0.0008807446076	0	0.0437527536	0.01659005399	0.02607527985	0.009921263538	24	68	20	1	1	0	57	56
13	66	9.03030303	52.18248115	0.3939393939	0.2835697874	0.9678962631	0.08203125	1	120	0.1288573458	64.49486191	3	6.825	0.08308410645	0.0315414705	0.003598964994	0.0412275003	0.03061679516	0.007640845991	0	0.00145304087	0.0157783319	0.01137666478	0.002933432956	0	0.05322528326	0.02010495012	0.02985882318	0.01143652038	22	75	21	3	3	0	60	61
14	73	9.780821918	62.80745964	0.4109589041	0.2860871147	0.9777375807	0.09765625	2	127	0.2508067291	75.06736123	1	7.37007874	0.09722518921	0.0369279886	0.003699199335	0.04298062028	0.03916231295	0.01138305664	0	0.001515618893	0.01651379248	0.01467639574	0.00422218149	0	0.06329225168	0.02389524168	0.03393293753	0.01303274692	23	76	26	4	4	0	64	65
15	79	10.40506329	73.9853492	0.4050632911	0.2764243621	0.9745819063	0.119140625	2	135	0.1698882268	87.2166145	1.5	7.822222222	0.1127052307	0.04304931125	0.002900839312	0.04353901955	0.04834139875	0.0179239731	0	0.001266152366	0.0167491252	0.01837008684	0.00666394685	0	0.07535749603	0.02851820817	0.03734773469	0.01453110308	20	79	32	6	6	0	68	69
16	86	10.79069767	86.08903451	0.3953488372	0.2613102232	0.9660250885	0.140625	4	141	0.3408697205	99.00278877	2.5	8.361702128	0.1286621094	0.04921547101	0.002549111772	0.04188941962	0.05652161995	0.02770195803	0	0.001075051868	0.01616118346	0.02168944359	0.01028979209	0	0.08818560649	0.03351054785	0.04047650288	0.01570492316	21	77	38	9	9	0	71	74
17	94	11.22340426	97.32831262	0.4255319149	0.2787947759	0.9581874616	0.126953125	9	144	0.9804050475	108.6243021	3	8.916666667	0.1414527893	0.05457924954	0.003368880118	0.04241253298	0.05087050018	0.04480087603	0	0.001461284952	0.01656846167	0.01975180679	0.01679769613	0	0.09620798332	0.03684865781	0.04524480599	0.01773059173	28	74	36	15	15	0	76	77
18	106	11.51886792	114.332328	0.4245283019	0.276699328	0.9493899925	0.15234375	12	151	1.37421234	123.6530064	3.25	9.503311258	0.1608123779	0.06263697982	0.003383665418	0.04376029129	0.05619431613	0.04382976302	0.01364434207	0.001517155558	0.01733116475	0.0220494192	0.01663856493	0.005100675375	0.1106418472	0.04285398169	0.05017053074	0.01978299813	30	76	39	15	15	3	81	82
19	109	12.44954128	128.919683	0.4220183486	0.2704835046	0.9425397405	0.17578125	13	157	2.200581248	138.9606373	4.307692308	10.04458599	0.1807441711	0.07110147741	0.004186409308	0.04443117099	0.06110291028	0.05157490938	0.01944877119	0.001912048411	0.01798742889	0.02410167228	0.01986191915	0.00723840868	0.125991089	0.04911754818	0.0547530821	0.02198392923	33	75	41	17	17	4	85	85
20	114	13.07017544	143.8876172	0.4298245614	0.2719796892	0.928726169	0.201171875	9	170	1.920480161	155.1273742	5.444444444	10.27647059	0.2007369995	0.07947279504	0.004529813979	0.04073065745	0.06532253437	0.06420045607	0.02595353764	0.001988319256	0.01633406465	0.02655563764	0.0249152454	0.009679528093	0.1399585087	0.05506763864	0.06077849077	0.02440515639	34	72	47	21	21	5	90	89
21	124	13.40322581	161.042642	0.435483871	0.2759030936	0.9122357397	0.23828125	8	178	1.51757004	171.6677434	4.75	10.79775281	0.2203941345	0.08815413901	0.004600350453	0.04061853226	0.07955695997	0.06272876907	0.03288952277	0.001928699689	0.01682733522	0.03249089575	0.02455867733	0.01234853102	0.1533526295	0.06093631404	0.06704150501	0.02721782497	32	75	54	19	19	6	95	91
22	126	14.28571429	178.454722	0.4365079365	0.2714656845	0.9084976961	0.279296875	15	180	2.772128621	189.8289681	6.333333333	11.43888889	0.2437400818	0.09853169243	0.004972770052	0.0409598255	0.07548770899	0.07292805081	0.04939172644	0.002142500239	0.01727755017	0.03079341286	0.02975725241	0.01856097675	0.1706859819	0.06866178886	0.07305409989	0.02986990357	35	75	52	24	24	9	100	95
23	132	14.78787879	198.1293339	0.4318181818	0.2666158683	0.8943786826	0.31640625	17	186	2.684959071	209.2577151	5.588235294	12.02150538	0.2671546936	0.1089433102	0.004902098179	0.03761778982	0.08357610253	0.05404543964	0.08701326344	0.002025721177	0.01617361467	0.03480290547	0.02212380512	0.03381726378	0.1893491388	0.07671596019	0.07780555481	0.03222735003	36	73	58	19	19	17	104	99
24	136	15.39705882	217.8859993	0.4191176471	0.2587883269	0.8743590661	0.373046875	21	189	3.355816615	228.5590024	6.047619048	12.69312169	0.2913017273	0.1197538414	0.005236332222	0.03373548328	0.08986566843	0.06437567047	0.09808857289	0.002198475735	0.01487647954	0.03769182362	0.02664662357	0.03834043897	0.2083474289	0.08504936124	0.08295429844	0.03470448018	39	69	62	22	22	18	108	102
