YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	2.070394184	-nan	1	0.002738952637	0.0008201997884	0.0009498596191	0.001789093018	0	0	0	0.0002839097272	0.0005362900613	0	0	0	0.001468658447	0.0004344249748	0.001270294189	0.0003857748136	5	5	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	20	0	4.348101776	-nan	1.5	0.00553894043	0.001675801087	0.001129150391	0.004409790039	0	0	0	0.0003366856577	0.00133911543	0	0	0	0.00301361084	0.0009005526277	0.00252532959	0.0007752484596	8	12	0	0	0	0	10	10
3	4	2.5	1.701202482	0	0	0.860691395	0	0	30	0	6.508330117	-nan	2	0.008285522461	0.002499846725	0.002051452246	0.006234070215	0	0	0	0.0006166956145	0.00188315111	0	0	0	0.004248717871	0.001280159851	0.00403680459	0.001219686874	15	15	0	0	0	0	15	15
4	6	3.666666667	2.914965775	0.1666666667	0.146256753	0.9460561488	0.001953125	0	40	0	9.280913438	-nan	2.5	0.01176834106	0.003572139426	0.002540830502	0.009227510562	0	0	0	0.0007565010963	0.00281563833	0	0	0	0.006206754575	0.001883840134	0.00556158649	0.001688299292	19	21	0	0	0	0	20	20
5	9	4.777777778	4.848893208	0.2222222222	0.1870307631	0.9850706706	0.005859375	0	49	0	12.40658432	-nan	3.020408163	0.01564407349	0.004793702642	0.003468903131	0.01217517035	0	0	0	0.001055428883	0.003738273759	0	0	0	0.008325012751	0.00254123351	0.007319060736	0.002252469132	23	26	0	0	0	0	25	24
6	13	5.461538462	7.409926204	0.3076923077	0.249399111	0.9755782568	0.009765625	1	57	0.03470978142	15.87671135	1	3.578947368	0.02032852173	0.006145776895	0.003700134394	0.01451504505	0.002113342285	0	0	0.001126680237	0.004396853107	0.0006222435518	0	0	0.01130714169	0.003422218946	0.009021380034	0.002723557949	25	31	2	0	0	0	30	28
7	18	6.111111111	10.83863228	0.3888888889	0.3027778706	0.9829081495	0.015625	1	67	0.03545178408	20.34403372	2	4.044776119	0.02614593506	0.007921280371	0.003635808841	0.0177951604	0.00471496582	0	0	0.001118260445	0.005396647084	0.001406372842	0	0	0.01520031483	0.004591423398	0.01094562023	0.003329856973	25	39	4	0	0	0	35	33
8	20	6.75	13.47502304	0.35	0.2721312057	0.9804080602	0.0234375	0	76	0	24.90961606	-nan	4.5	0.03154373169	0.009716151787	0.002981450781	0.01988603675	0.008676244157	0	0	0.0009740124309	0.006117420789	0.002624718567	0	0	0.0189119817	0.005761473526	0.01263174999	0.003954678261	24	45	7	0	0	0	39	37
9	26	7.192307692	18.22581598	0.3076923077	0.2454820761	0.9787767883	0.033203125	0	86	0	30.87721906	-nan	4.976744186	0.03945541382	0.01207665344	0.004764405687	0.02454316086	0.01014784727	0	0	0.001466230578	0.007522242228	0.00308818063	0	0	0.02441563572	0.007433394871	0.0150397781	0.004643258564	31	48	7	0	0	0	44	42
10	34	7.882352941	24.59854504	0.2941176471	0.2351957836	0.9782069703	0.046875	0	95	0	37.38511953	-nan	5.452631579	0.04758453369	0.01468460425	0.005785840056	0.02568705122	0.01611164241	0	0	0.001827819168	0.007965674839	0.004891110247	0	0	0.03047871508	0.009364284806	0.01710581861	0.005320319447	35	49	11	0	0	0	48	47
11	43	8.279069767	31.59095151	0.3023255814	0.2413015917	0.9510997777	0.041015625	1	98	0.03936036646	42.29801593	6	5.979591837	0.05387878418	0.01673741216	0.004550172801	0.0299093963	0.01941921508	0	0	0.001447709057	0.009256766506	0.0060329366	0	0	0.03506778344	0.01083631093	0.01881100074	0.005901101228	29	58	12	0	0	0	50	49
12	48	9.104166667	38.44694706	0.3125	0.2396340563	0.9549968069	0.0546875	1	108	0.04017527026	50.07649876	7	6.425925926	0.064037323	0.01993216538	0.004164129389	0.03365752508	0.01648567938	0.009729989148	0	0.001330454234	0.01035871508	0.005244684798	0.00299831127	0	0.04222427197	0.01310755596	0.02181305103	0.006824609419	30	63	12	4	4	0	55	54
13	53	9.773584906	46.15511866	0.320754717	0.2364619262	0.9507023028	0.0625	2	116	0.08090867864	59.28031216	5	6.956896552	0.07581329346	0.02374414424	0.004542654151	0.03518174101	0.02264844455	0.01344045375	0	0.001446508598	0.01091135698	0.007258599185	0.004127679474	0	0.05046831906	0.01583269366	0.0253449744	0.007911450582	31	65	17	5	5	0	60	58
14	61	10.3442623	55.54636102	0.3114754098	0.2297479824	0.9501388448	0.07421875	1	124	0.04184275831	68.35846396	9	7.35483871	0.08726882935	0.02750642584	0.004336939306	0.03385962144	0.02931103915	0.01976122945	0	0.001398802785	0.01050359392	0.009396781882	0.006207247254	0	0.05845834018	0.01847482278	0.02881048917	0.009031603053	30	65	23	7	7	0	63	62
15	65	10.92307692	64.84408004	0.2923076923	0.2149154674	0.9445281881	0.08984375	2	133	0.2286674474	79.50993397	6	7.84962406	0.1019325256	0.03220477752	0.004548453738	0.03568964303	0.03978253617	0.02191189269	0	0.001485798521	0.01101021773	0.01273603233	0.006972728929	0	0.06928653658	0.02189754015	0.03264598905	0.01030723737	31	68	29	7	7	0	68	67
16	73	11.32876712	76.69031551	0.3150684932	0.2181129377	0.944126316	0.115234375	3	138	0.4580766426	91.52115397	4.666666667	8.5	0.1175689697	0.03735951705	0.003658329526	0.04037307142	0.04189671052	0.03164085826	0	0.001259901815	0.01251816229	0.01344944179	0.01013201115	0	0.08088238869	0.02574009472	0.03668658103	0.01161942233	26	75	30	10	10	0	70	71
17	82	11.67073171	90.07661698	0.3414634146	0.2241232499	0.9396112259	0.138671875	5	146	0.6913938063	104.9415503	6	8.95890411	0.1348686218	0.04312249712	0.004526727795	0.04182705643	0.05363645792	0.02654591219	0.008332467488	0.001538872859	0.01307200359	0.01723364749	0.008549522406	0.002728450783	0.09345874002	0.02993842919	0.04140988181	0.01318406793	29	76	36	8	8	2	75	76
18	90	12.03333333	100.0260992	0.3777777778	0.2433940706	0.9364822822	0.162109375	5	153	0.5131497528	114.5073848	4.4	9.411764706	0.1457672119	0.04711364598	0.004092019878	0.03924476678	0.06367913638	0.02528980031	0.01346148856	0.001462373273	0.01224798132	0.0208560201	0.008198100525	0.004349170759	0.1006939121	0.03256790913	0.04507329978	0.01454573684	29	75	43	8	8	3	79	79
19	99	12.66666667	115.3981315	0.3939393939	0.2461703718	0.9245795974	0.1953125	4	162	0.2886787557	129.9497714	5.25	9.87654321	0.165397644	0.05362298172	0.004556850804	0.04051893346	0.06162164474	0.03505218752	0.02364802752	0.001583434557	0.0127238643	0.02011285749	0.01163037414	0.007572451228	0.1154366899	0.03742174999	0.04996095411	0.01620123172	30	76	42	13	13	5	83	83
20	109	13.30275229	132.3885473	0.4036697248	0.2472832619	0.9230848584	0.22265625	8	167	1.317584677	144.8325371	7.625	10.34131737	0.1851806641	0.06048330101	0.004236641347	0.04232285854	0.0625430777	0.05062747238	0.02545061409	0.001458710667	0.0135533132	0.02047948949	0.01671016177	0.008281625882	0.1304378475	0.04256283595	0.05474281658	0.01792046505	30	80	42	18	18	5	88	87
21	116	13.9137931	149.4195404	0.4137931034	0.2475180282	0.9179057037	0.25	10	175	1.86259273	162.096239	7.9	10.82285714	0.2074012756	0.06819740442	0.003323700938	0.04806144947	0.06810968195	0.04841115962	0.03949528365	0.00125979167	0.01548617983	0.02229147332	0.01595448698	0.01320547262	0.1474224816	0.04844635902	0.05997879404	0.0197510454	27	90	43	17	17	8	93	92
22	124	14.43548387	168.0126675	0.4193548387	0.2470875741	0.9011175283	0.28125	11	182	1.40062102	181.2406034	5.727272727	11.54395604	0.2300643921	0.07634436462	0.003706757853	0.05085140875	0.06897978174	0.06408606243	0.04244038132	0.001412732026	0.01643186579	0.02260766285	0.02156238546	0.01432971849	0.1643440157	0.05458155399	0.06572037644	0.02176281063	30	90	43	22	22	8	97	96
23	128	14.875	185.7782132	0.3984375	0.2366350322	0.8980599829	0.3046875	16	185	2.994023011	199.2043057	7.75	12.02162162	0.253288269	0.08487670196	0.003798057519	0.04913029664	0.07218287851	0.07485823193	0.05331880445	0.001438235234	0.0160696934	0.02416509247	0.0248933183	0.01831036256	0.1824995549	0.06115092328	0.07078871411	0.02372577868	30	89	47	25	25	10	101	100
24	135	15.15555556	201.4187883	0.3925925926	0.2355112701	0.8820820695	0.26953125	21	187	4.825573008	213.0538977	8.238095238	12.50802139	0.2702827454	0.09193160383	0.003922641272	0.04736136792	0.07270801375	0.0767046804	0.06958604202	0.001507270438	0.01603384252	0.0246145796	0.02592629766	0.02384961361	0.1941886681	0.06616834646	0.07609407726	0.02576325737	32	88	49	26	26	13	105	103
25	141	15.78014184	220.8720482	0.4184397163	0.2414390669	0.8750684574	0.2890625	24	193	5.584755521	232.2311669	8.791666667	12.97409326	0.2934036255	0.1007412939	0.004091946548	0.04640778346	0.07062432268	0.08464531677	0.08763425602	0.001658889569	0.01598570787	0.02436014736	0.02884606147	0.02989048759	0.2113876033	0.07265573421	0.08201602217	0.02808555965	34	88	50	29	29	16	110	107
26	143	16.30769231	237.7055309	0.4195804196	0.2342402132	0.8656069118	0.33984375	30	192	7.081602379	248.0762017	8.766666667	13.60416667	0.3129196167	0.1085777684	0.004556523706	0.04531757363	0.07160678035	0.08666047301	0.104778266	0.001843699486	0.01597652507	0.02490177654	0.02944271081	0.03641305646	0.2281280984	0.07939303241	0.08479151825	0.02918473596	37	87	50	29	29	19	112	110
27	148	17.20945946	259.0185697	0.4324324324	0.2365765395	0.8426251516	0.376953125	37	193	8.772712106	268.4271966	7.783783784	14.48186528	0.3381385803	0.1184432353	0.003755239872	0.04364600091	0.07865561042	0.08481239085	0.1272693383	0.001650691268	0.01587004258	0.02751558257	0.02876371064	0.04464320821	0.247495734	0.08685506214	0.09064284636	0.03158817313	35	89	55	28	28	23	117	113
28	152	17.73026316	274.3661504	0.4342105263	0.2418446852	0.8290504261	0.41015625	39	199	9.076642315	283.4148959	9.076923077	14.72864322	0.3544425964	0.1254027745	0.003169384961	0.03975287002	0.08442844593	0.08090905965	0.1461828359	0.001566394204	0.01497825861	0.02974808768	0.02747019854	0.05163983545	0.2583027881	0.09151669485	0.09613980831	0.03388607963	38	86	60	27	27	27	122	116
29	155	18.23225806	295.4442316	0.4258064516	0.2370741571	0.8215639292	0.453125	34	212	8.582806465	305.8655459	9.735294118	14.98584906	0.3796730042	0.1352730556	0.004009239015	0.03989820742	0.08813443303	0.07781651192	0.1698146128	0.001870612949	0.01497565452	0.03133756033	0.02630619807	0.06078302979	0.2775057755	0.09902809701	0.1021672287	0.03624495864	45	83	61	26	26	31	127	119
30	154	18.8961039	308.7746843	0.4220779221	0.2334089755	0.8043523493	0.4609375	38	210	8.933514405	319.5739238	9.868421053	15.64285714	0.3945503235	0.1417753391	0.004629205369	0.04026785776	0.08400038901	0.08814993674	0.1775029346	0.001980345059	0.01524921655	0.0296210216	0.03091267948	0.06401207639	0.2897966481	0.1041708958	0.1047536754	0.03760444327	48	82	57	30	30	31	129	119
31	156	19.78846154	329.0188096	0.4294871795	0.2345484827	0.7819115407	0.494140625	41	214	8.743000052	341.0084313	9.780487805	16.31308411	0.417755127	0.1514743832	0.005672058807	0.03969537934	0.0853421714	0.09210424293	0.1949412745	0.002348988573	0.01519878487	0.03061822719	0.03256023184	0.07074815071	0.3068384481	0.1112796395	0.1109166788	0.04019474369	53	80	58	31	31	33	133	122
32	156	20.81410256	349.6235999	0.4294871795	0.2323097016	0.7623678937	0.529296875	41	220	9.963388191	362.9272184	10.09756098	16.94090909	0.4417228699	0.1620707214	0.005544848759	0.0368697712	0.08738715227	0.09261025545	0.2193108422	0.002273826557	0.01474565126	0.03135172267	0.03312769025	0.08057183066	0.3252953584	0.1192209325	0.1164275115	0.04284978888	51	81	60	32	32	37	137	124
33	161	21.20496894	370.1494392	0.4409937888	0.2313398545	0.7636398568	0.5703125	45	223	10.50357953	382.3797069	10.17777778	17.52017937	0.4652442932	0.1712911319	0.006187101276	0.03407730151	0.08765427854	0.08572170081	0.2516039111	0.002543326529	0.0141223675	0.03126358387	0.03112571448	0.09223613948	0.3442990522	0.1267703	0.120945241	0.04452083181	56	79	60	31	31	42	141	127
34	164	21.78658537	390.0563302	0.4390243902	0.2312651499	0.7571640667	0.59765625	52	223	11.99858972	401.6323563	10.5	18.1793722	0.4883308411	0.1809459135	0.006299222072	0.03326167264	0.09080700062	0.08298328964	0.2749796561	0.002666353543	0.01376518882	0.03281285776	0.03005960984	0.1016419035	0.3603774623	0.1337989779	0.1279533788	0.04714693563	58	80	62	30	30	45	146	129
35	166	22.52409639	401.5472202	0.4337349398	0.2344549733	0.7396381252	0.62890625	64	218	13.85747269	412.5266924	9.921875	19.25229358	0.4989700317	0.1870265727	0.006319800506	0.034945123	0.08798960602	0.08057238925	0.289143113	0.002739747116	0.01434594609	0.03247356948	0.02938823499	0.1080790751	0.3647962816	0.1373448448	0.1341737501	0.04968172798	61	83	60	30	30	48	151	131
36	165	23.30909091	408.8186676	0.4424242424	0.2401432534	0.7213833875	0.66015625	55	226	11.06423688	422.1921715	9.709090909	19.55309735	0.505027771	0.1906248387	0.005754548275	0.03478454361	0.08454998486	0.09196749748	0.2879711968	0.002745069007	0.01431181326	0.03170433684	0.03268911359	0.109174506	0.3657707995	0.1392555477	0.1392569715	0.05136929099	60	84	58	33	33	46	154	127
