YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.921788955	-nan	1	0.002555847168	0.002851949463	0.0006141662598	0.001941680908	0	0	0	0.000710447998	0.002141501465	0	0	0	0.001132965088	0.001271770698	0.00142288208	0.001580178765	5	5	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	18	0	3.024216789	-nan	1.444444444	0.003959655762	0.004351597422	0.001262664795	0.002696990967	0	0	0	0.001384514189	0.002967083233	0	0	0	0.001831054688	0.002035775677	0.002128601074	0.002315821745	11	7	0	0	0	0	10	8
3	0	0	0	-nan	-nan	-nan	0	0	27	0	5.155540656	-nan	1.925925926	0.006664276123	0.007398896596	0.002258300781	0.004405975342	0	0	0	0.002523379194	0.004875517403	0	0	0	0.003269195557	0.003648631174	0.003395080566	0.003750265423	16	11	0	0	0	0	14	13
4	6	3.5	2.47087212	0.5	0.4864368875	0.951498865	0	0	37	0	7.382535735	-nan	2.405405405	0.009449005127	0.01053133568	0.002857208252	0.006591796875	0	0	0	0.003136799675	0.007394536007	0	0	0	0.004661560059	0.005203393986	0.004787445068	0.005327941695	21	16	0	0	0	0	19	18
5	8	4.375	3.667025372	0.375	0.3625130206	0.9700426333	0	0	47	0	10.8372512	-nan	2.893617021	0.01403427124	0.0155718823	0.003952026367	0.01008224487	0	0	0	0.004406551282	0.01116533101	0	0	0	0.007274627686	0.008077264375	0.006759643555	0.007494617922	24	23	0	0	0	0	24	23
6	10	5.1	5.05920156	0.4	0.367855272	0.9768857308	0	0	55	0	13.62690234	-nan	3.363636364	0.01750564575	0.01949969552	0.003677368164	0.01382827759	0	0	0	0.004087040826	0.01541265469	0	0	0	0.009690405391	0.0107597737	0.007815240361	0.008739921816	24	31	0	0	0	0	28	27
7	13	5.846153846	7.083618175	0.3076923077	0.2870611049	0.9792044394	0	0	63	0	17.68805742	-nan	3.857142857	0.02268218994	0.02552754137	0.002807617187	0.01987457275	0	0	0	0.003138702154	0.02238883921	0	0	0	0.01331567484	0.01491284858	0.009366515105	0.01061469278	20	43	0	0	0	0	32	31
8	21	5.857142857	11.60549873	0.3333333333	0.2971738292	0.9834047873	0	0	71	0	21.71450644	-nan	4.295774648	0.02812957764	0.03135538654	0.003570556641	0.0223236084	0.002235412598	0	0	0.004100255862	0.02474069508	0.0025144356	0	0	0.01657421169	0.01842007085	0.01155536594	0.01293531569	25	44	2	0	0	0	37	34
9	28	6.321428571	16.3563044	0.25	0.231271557	0.9710727455	0	0	78	0	25.79212116	-nan	4.794871795	0.03326416016	0.03742715049	0.004128678372	0.02319599814	0.005939483643	0	0	0.00470626995	0.02611817345	0.00660270709	0	0	0.02109545182	0.02365143067	0.01216870834	0.01377571982	29	44	5	0	0	0	39	39
10	32	7.1875	20.69277604	0.21875	0.2003724263	0.9834837116	0	0	87	0	31.19259053	-nan	5.252873563	0.04057312012	0.04543284071	0.006283115443	0.02738921732	0.006900787354	0	0	0.007087570038	0.03066600494	0.007679265731	0	0	0.02584021931	0.02896883095	0.01473290081	0.01646400976	37	45	5	0	0	0	44	43
11	36	7.5	25.41422572	0.25	0.2110603463	0.9750939907	0.00390625	1	93	0.04768557756	36.80602886	1	5.698924731	0.04800033569	0.05393386602	0.005605353796	0.02993476906	0.01246021284	0	0	0.006415348543	0.03368796247	0.013830555	0	0	0.03123627389	0.03501315614	0.01676406181	0.01892070988	33	52	9	0	0	0	48	46
12	43	7.76744186	32.0569561	0.2325581395	0.1953627327	0.9733859188	0.013671875	2	101	0.1027355149	43.81689738	1.5	6.227722772	0.05737686157	0.06453991251	0.004960817325	0.02938080395	0.0230352403	0	0	0.005670716903	0.03282911065	0.02604008495	0	0	0.03784474338	0.04249644963	0.01953211819	0.02204346288	30	56	17	0	0	0	53	50
13	49	8.714285714	39.17499023	0.2857142857	0.2160246674	0.9694382965	0.01953125	1	109	0.05350753529	51.34688045	1	6.724770642	0.06735610962	0.0760519944	0.004124275091	0.03123940307	0.03199243146	0	0	0.004920745406	0.0353692931	0.0357619559	0	0	0.04488565355	0.05068744223	0.02247045607	0.02536455218	27	61	22	0	0	0	56	54
14	53	9.641509434	44.90358541	0.3018867925	0.2233843902	0.9658591899	0	2	116	0.1110753816	58.29049224	2.5	7.155172414	0.07662963867	0.08696295823	0.003874311557	0.03489410599	0.03276089932	0.005100321797	0	0.004741205102	0.0393114953	0.03722070986	0.005689547964	0	0.0509244502	0.05781971543	0.02570518848	0.02914324279	27	67	22	2	2	0	61	57
15	56	10.14285714	50.86245565	0.2857142857	0.2142336348	0.9553272886	0.015625	1	125	0.1020734317	65.66313918	7	7.512	0.08598709106	0.09845671012	0.004705705419	0.03525502313	0.03295448033	0.01307188218	0	0.005772033187	0.04011867076	0.0378449238	0.01472108238	0	0.05720151618	0.06551688328	0.02878557489	0.03293982685	32	66	23	5	5	0	65	61
