YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.258629199	-nan	1	0.001686096191	0.0005355478516	0.001346588135	0.0003395080566	0	0	0	0.0004308811849	0.0001046666667	0	0	0	0.0008583068848	0.0002828695882	0.0008277893066	0.0002526782633	9	1	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	20	0	2.677545362	-nan	1.5	0.003280639648	0.00110086239	0.001518249512	0.001762390137	0	0	0	0.0005110046131	0.0005898577766	0	0	0	0.001823425293	0.0006099067293	0.001457214355	0.0004909556605	14	6	0	0	0	0	10	10
3	1	3	0.39878263	0	0	0.9028123692	0	0	30	0	4.750039373	-nan	2	0.006019592285	0.001967625305	0.002857208252	0.003162384033	0	0	0	0.0009431565686	0.001024468737	0	0	0	0.003261566162	0.001081850896	0.002758026123	0.0008857744091	21	9	0	0	0	0	15	15
4	2	3.5	0.8899772911	0	0	0.9435951909	0	0	40	0	7.483686395	-nan	2.5	0.009399414062	0.003119928602	0.002922058105	0.006477355957	0	0	0	0.0009853155146	0.002134613087	0	0	0	0.005233764648	0.001739242221	0.004165649414	0.001380686381	22	18	0	0	0	0	20	20
5	4	4.25	1.929316448	0	0	0.9479193589	0	0	49	0	10.06383773	-nan	2.979591837	0.01266479492	0.004189800673	0.003593444824	0.009071350098	0	0	0	0.001166977755	0.003022822918	0	0	0	0.007568359375	0.002507167121	0.005096435547	0.001682633552	26	23	0	0	0	0	24	25
6	9	4.444444444	4.358060502	0.1111111111	0.09011456431	0.9475417428	0	0	59	0	13.90405922	-nan	3.474576271	0.01736831665	0.005818747085	0.00366973877	0.01369857788	0	0	0	0.001230654729	0.004588092356	0	0	0	0.01065063477	0.003539005921	0.006717681885	0.002279741164	26	33	0	0	0	0	29	30
7	14	5.5	7.390629946	0.1428571429	0.1121006836	0.9796068647	0	0	69	0	18.4189744	-nan	3.971014493	0.02309036255	0.007757764268	0.003826141357	0.01814651489	0.001117706299	0	0	0.001295590494	0.006095594161	0.0003665796134	0	0	0.01417160034	0.004788361536	0.008918762207	0.002969402732	27	41	1	0	0	0	34	35
8	22	6.409090909	12.19534222	0.2727272727	0.2129926839	0.9760662298	0.00390625	0	78	0	23.52503482	-nan	4.423076923	0.02963256836	0.009965098283	0.00464630127	0.02253723145	0.002449035645	0	0	0.001544921011	0.007616977022	0.0008032002487	0	0	0.01888275146	0.006370890704	0.01074981689	0.003594207579	30	46	2	0	0	0	38	40
9	31	6.838709677	18.29204363	0.1935483871	0.1587623957	0.9770054788	0.01171875	0	86	0	29.18051151	-nan	4.965116279	0.03715896606	0.01244281084	0.005138397217	0.02690887451	0.005111694336	0	0	0.001726485527	0.009010629156	0.001705696154	0	0	0.02412033081	0.008101271394	0.01303863525	0.004341539443	31	51	4	0	0	0	42	44
10	38	7.447368421	24.60176221	0.2368421053	0.1817219231	0.9809468225	0.015625	0	96	0	36.1950035	-nan	5.447916667	0.0464515686	0.01553232076	0.005981445312	0.02816483746	0.01230528583	0	0	0.001927571894	0.009467626551	0.004137122313	0	0	0.03047943115	0.0102088648	0.01597213745	0.00532345596	32	54	10	0	0	0	47	49
11	41	8.365853659	30.13506738	0.243902439	0.1781934295	0.981890195	0.01953125	0	106	0	44.43823618	-nan	5.933962264	0.05700302124	0.01915423548	0.004230499268	0.03515625	0.01761627197	0	0	0.00141214342	0.01177777977	0.005964312291	0	0	0.03827806143	0.01285893175	0.01872495981	0.00629530373	25	68	13	0	0	0	52	54
12	51	8.647058824	39.29673874	0.2941176471	0.203083928	0.9747788777	0.02734375	0	116	0	53.88374111	-nan	6.422413793	0.06949234009	0.02338631444	0.004287719727	0.03834341465	0.02449227871	0.002368927002	0	0.001403373081	0.01286367307	0.00832659814	0.0007926701468	0	0.0469176432	0.01587824762	0.02257469689	0.00750806682	24	73	18	1	1	0	57	59
13	57	8.964912281	46.73197083	0.2631578947	0.1829043872	0.974956136	0.044921875	0	123	0	61.44451294	-nan	6.837398374	0.07958221436	0.02680543977	0.004896107395	0.03584700363	0.03373503839	0.005104064941	0	0.001643730224	0.01196832478	0.01149648727	0.00169689749	0	0.05436497054	0.01838913184	0.02521724382	0.00841630793	28	69	24	2	2	0	61	62
14	65	9.430769231	56.25566185	0.2923076923	0.1964741108	0.9775390593	0.03515625	0	131	0	70.94971382	-nan	7.27480916	0.09196090698	0.03115265754	0.00398524615	0.04004306079	0.0372514477	0.01068115234	0	0.001359481283	0.01349585468	0.01274598225	0.003551339329	0	0.06265498936	0.02133492736	0.02930591762	0.009817730182	24	78	25	4	4	0	66	65
15	70	10.07142857	66.76157807	0.2857142857	0.1889247864	0.9755759163	0.046875	0	140	0	82.50912662	-nan	7.785714286	0.1067657471	0.03642910389	0.003593578444	0.04391557545	0.0425667469	0.01668984628	0	0.001257791125	0.01497375338	0.01457673377	0.005620825613	0	0.07371703333	0.02528900966	0.03304871374	0.01114009424	24	83	27	6	6	0	70	70
16	76	11.11842105	78.29047111	0.3552631579	0.2134939478	0.9758216024	0.060546875	3	146	0.4057347854	94.85470657	1.666666667	8.376712329	0.1234512329	0.04231187636	0.003915213677	0.04505903676	0.04560596069	0.02887102178	0	0.001440289855	0.01525592069	0.01589553116	0.009720134646	0	0.08560907685	0.02953936555	0.03784215606	0.01277251081	27	82	30	10	10	0	75	74
17	88	11.51136364	93.50449471	0.375	0.2226639829	0.9633965939	0.07421875	9	149	1.442340566	108.1637236	1.666666667	9.167785235	0.1411781311	0.04906131281	0.004429133664	0.04295087026	0.05645102138	0.0373471058	0	0.001658749254	0.01493665743	0.01986589455	0.01260001158	0	0.09930519315	0.034638888	0.04187293795	0.01442242481	29	80	37	12	12	0	79	79
18	98	12.05102041	109.5470265	0.3775510204	0.2236555003	0.9560764628	0.08984375	6	160	1.133093378	123.3919475	2.166666667	9.51875	0.161113739	0.05600458638	0.005288276517	0.04227021491	0.05004882882	0.05878763825	0.004718780518	0.001948279178	0.01470943371	0.01759144598	0.02018011875	0.001575308758	0.1145393827	0.04002530364	0.0465743563	0.01597928274	33	77	35	20	20	1	83	83
19	107	12.71028037	125.8840812	0.4205607477	0.2346611638	0.9457166452	0.09765625	6	168	0.8579845216	138.9741956	3	9.970238095	0.1798591614	0.06325102561	0.004519175848	0.04326395408	0.04998663866	0.06824590546	0.01384348732	0.001728955987	0.01536603875	0.0175913455	0.02380590288	0.004758782504	0.1296772145	0.04568742622	0.05018194683	0.0175635994	33	80	35	23	23	3	87	87
