YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.490195222	-nan	1	0.001914978027	0.001287341227	0.0008964538574	0.00101852417	0	0	0	0.0005847892253	0.000702552002	0	0	0	0.0009346008301	0.0006277316895	0.0009803771973	0.0006596095378	7	3	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	20	0	3.556091658	-nan	1.5	0.004405975342	0.003006444821	0.002170562744	0.002235412598	0	0	0	0.001507222447	0.001499222374	0	0	0	0.002148517794	0.001429775797	0.002257457548	0.001576669024	14	6	0	0	0	0	10	10
3	1	3	0.45277417	0	0	0.9032267156	0.00390625	0	29	0	5.609941465	-nan	1.965517241	0.006896972656	0.004700725063	0.003273010254	0.003623962402	0	0	0	0.002252201075	0.002448523988	0	0	0	0.003747216117	0.002588105602	0.00314975654	0.002112619461	19	10	0	0	0	0	14	15
4	3	3.666666667	1.44171498	0	0	0.929471131	0.00390625	0	39	0	8.690580508	-nan	2.461538462	0.01074981689	0.007312471216	0.003025054932	0.007724761963	0	0	0	0.002096401285	0.005216069931	0	0	0	0.00630542265	0.004261522346	0.004444394244	0.00305094887	18	21	0	0	0	0	19	20
5	8	3.75	3.752598	0.125	0.1034019591	0.9468933265	0.00390625	0	49	0	12.28724692	-nan	2.959183673	0.0154800415	0.01035145186	0.003211307825	0.01226873368	0	0	0	0.002181362385	0.008170089472	0	0	0	0.009095732404	0.006055512259	0.0063843091	0.004295939598	18	31	0	0	0	0	24	25
6	11	4.545454545	5.899178418	0.09090909091	0.07381128156	0.9600372675	0.00390625	1	58	0.04614262614	16.1133074	1	3.5	0.02010345459	0.01367692624	0.002185605455	0.01686117799	0.001056671143	0	0	0.001491476912	0.01150421536	0.0006812339689	0	0	0.01194978035	0.008077872063	0.008153674242	0.005599054177	16	42	1	0	0	0	29	30
7	17	5.352941176	9.661656516	0.1764705882	0.1343558334	0.975565967	0.0078125	1	68	0.04705966864	20.78679803	2	3.985294118	0.02603912354	0.01774679007	0.002470391685	0.0212722841	0.002296447754	0	0	0.001731383062	0.01451920982	0.001496197185	0	0	0.01574640573	0.01071864742	0.01029271781	0.007028142652	19	48	2	0	0	0	34	35
8	24	6.208333333	14.35091182	0.125	0.1008038701	0.9602241816	0.0078125	0	79	0	26.34693521	-nan	4.455696203	0.03322219849	0.02256645937	0.003834366563	0.02556169057	0.003826141357	0	0	0.002646016283	0.01735872668	0.002561716414	0	0	0.02054466734	0.01388679851	0.01267753115	0.008679660859	25	51	3	0	0	0	39	40
9	30	6.9	19.42932587	0.2	0.1438568021	0.9582952677	0.017578125	0	87	0	32.12852605	-nan	4.965517241	0.04043579102	0.02761589124	0.003741206073	0.02558237181	0.01111221313	0	0	0.002565001786	0.01770485444	0.007346035016	0	0	0.0261167756	0.01775806518	0.01431901541	0.009857826058	24	54	9	0	0	0	42	45
10	40	7.375	25.90793336	0.325	0.2305442088	0.9653581728	0.025390625	0	96	0	37.47076987	-nan	5.40625	0.04690933228	0.03235602399	0.003420052929	0.03020650347	0.01328277588	0	0	0.002340120249	0.02115553193	0.008860371813	0	0	0.03021333952	0.02075537369	0.01669599276	0.0116006503	24	62	10	0	0	0	47	49
11	46	8.043478261	32.5661777	0.3260869565	0.2277817994	0.9647130852	0.033203125	2	103	0.3159768678	45.0144861	4.5	5.912621359	0.05695343018	0.03932206821	0.003205743355	0.03397039227	0.01977729456	0	0	0.002177824198	0.02377325236	0.01337099165	0	0	0.03731275651	0.0258271948	0.01964067367	0.01349487341	22	69	14	0	0	0	51	54
12	56	8.803571429	41.83197864	0.375	0.255924958	0.9684649144	0.041015625	3	111	0.4862370344	53.45674661	4.333333333	6.468468468	0.06782150269	0.04712646929	0.003887423069	0.03453827963	0.02939579999	0	0	0.002738870195	0.0243528641	0.02003473499	0	0	0.04566241934	0.03160114301	0.02215908335	0.01552532627	26	68	20	0	0	0	55	59
13	63	9.412698413	51.14880836	0.3333333333	0.2327876354	0.9674473102	0.044921875	3	120	0.261217406	63.80220671	4	6.983333333	0.08104324341	0.05617278964	0.003952681232	0.0371544039	0.03483209334	0.005104064941	0	0.002863309076	0.02585093535	0.02406591554	0.003392629683	0	0.0555812042	0.03841324733	0.02546203921	0.01775954231	26	71	24	2	2	0	59	64
