YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.310699446	-nan	1	0.001625061035	0.0014005012	0.001022338867	0.000602722168	0	0	0	0.0008848019409	0.0005156992594	0	0	0	0.0008430480957	0.0007345959473	0.0007820129395	0.0006659052531	8	2	0	0	0	0	5	5
2	0	0	0	-nan	-nan	-nan	0	0	20	0	3.791592263	-nan	1.5	0.004745483398	0.004015477317	0.001766204834	0.002979278564	0	0	0	0.001444752754	0.002570724563	0	0	0	0.00252532959	0.002124586477	0.002220153809	0.00189089084	11	9	0	0	0	0	10	10
3	2	2.5	0.8355766464	0	0	0.9514645859	0	0	30	0	5.869158725	-nan	2	0.00740814209	0.00612069581	0.002365112305	0.005043029785	0	0	0	0.001990301206	0.004130394604	0	0	0	0.003917694092	0.003175765836	0.003490447998	0.002944929974	16	14	0	0	0	0	15	15
4	4	3.5	1.946954757	0	0	0.9625526113	0	0	40	0	8.63785012	-nan	2.5	0.0110244751	0.00908932021	0.003374630734	0.007649844364	0	0	0	0.002765160143	0.006324160068	0	0	0	0.005897521973	0.004819833788	0.005126953125	0.004269486423	21	19	0	0	0	0	20	20
5	6	4.333333333	3.244525869	0.1666666667	0.1269141009	0.980882659	0	0	50	0	12.12935132	-nan	3	0.01515197754	0.01282849057	0.004074035957	0.01107794158	0	0	0	0.003435746636	0.009392743937	0	0	0	0.007995811371	0.006825327469	0.007156166168	0.006003163104	24	26	0	0	0	0	25	25
6	10	4.9	5.510965243	0.1	0.08363242879	0.9577776745	0	0	59	0	16.220662	-nan	3.491525424	0.02059173584	0.01723550658	0.003736366673	0.01685536917	0	0	0	0.003083651221	0.01415185536	0	0	0	0.01128591116	0.009492066597	0.009305824681	0.007743439982	21	38	0	0	0	0	29	30
7	14	6.142857143	8.271103902	0.2142857143	0.1584074815	0.9829157706	0	0	69	0	20.67928477	-nan	3.985507246	0.02603149414	0.02202595247	0.00396010426	0.01778693436	0.004284455522	0	0	0.003385674084	0.01500484441	0.003635433981	0	0	0.01465174324	0.01241985932	0.0113797509	0.009606093147	23	42	4	0	0	0	34	35
8	21	6.523809524	12.69289019	0.380952381	0.2740404075	0.9862338836	0	0	79	0	26.35472666	-nan	4.481012658	0.03340530396	0.02827589414	0.002606019091	0.02464779563	0.006151489235	0	0	0.002239744043	0.02085797356	0.005178176531	0	0	0.01881038085	0.01605986237	0.0145949231	0.01221603176	17	57	5	0	0	0	39	40
9	31	7	19.11634107	0.3870967742	0.2902370974	0.9810310207	0	0	89	0	33.03899328	-nan	4.97752809	0.04169082642	0.03565657931	0.002255657554	0.03224271672	0.00719245214	0	0	0.001991112716	0.02757244807	0.006093018524	0	0	0.02415413173	0.02078842557	0.01753669468	0.01486815374	16	68	5	0	0	0	44	45
10	42	7.5	26.91271896	0.380952381	0.2912189058	0.975031227	0	0	97	0	39.87490825	-nan	5.494845361	0.05030441284	0.04323443095	0.002777568647	0.0337650327	0.0137618115	0	0	0.002375185624	0.02914769163	0.0117115537	0	0	0.02969820344	0.02565200229	0.0206062094	0.01758242866	18	69	10	0	0	0	49	48
11	52	8.019230769	35.42533449	0.3461538462	0.2684837873	0.9643217402	0	1	105	0.05084735125	47.20048421	1	6.047619048	0.059715271	0.05152795483	0.0026538353	0.03786013095	0.01920130475	0	0	0.002295774445	0.0329086322	0.01632354819	0	0	0.03617708342	0.03138477923	0.02353818758	0.0201431756	20	73	13	0	0	0	53	53
12	59	8.559322034	43.78914667	0.3898305085	0.2878519456	0.9594809734	0.00390625	2	113	0.2317290775	55.4560231	1.5	6.592920354	0.07019424438	0.06114686461	0.002763864556	0.04184971285	0.0210067454	0.004573921583	0	0.002669663128	0.03675327236	0.01768928006	0.004034649066	0	0.0434497985	0.03786827843	0.02674444588	0.02327858618	23	76	14	2	2	0	58	57
13	64	9.390625	51.25823187	0.40625	0.2967103298	0.9522479192	0.005859375	2	121	0.2353079531	63.70129838	2.5	6.966942149	0.08083724976	0.07057916033	0.004000984088	0.04393430087	0.02259939298	0.01030257182	0	0.00369208423	0.03879130076	0.01920441335	0.008891361986	0	0.05053243114	0.0442984896	0.03030481862	0.02628067073	28	75	16	4	4	0	62	61
14	72	9.986111111	61.3477204	0.4166666667	0.2955884982	0.9487344116	0.015625	1	130	0.1579126285	73.75608598	12	7.3	0.09381103516	0.08196630828	0.004395047515	0.04249704526	0.03285481204	0.01406413034	0	0.004069161498	0.03733888921	0.02837999786	0.01217825972	0	0.06053703324	0.0529482336	0.03327400191	0.02901807468	30	72	24	5	5	0	65	66
15	82	10.3902439	73.50743592	0.4024390244	0.2850697521	0.9479464378	0.01953125	1	139	0.1601539179	85.22257017	13	7.776978417	0.1084480286	0.09513993125	0.004363466092	0.03917582246	0.04421443535	0.02069430467	0	0.004083228943	0.03425585886	0.03909161399	0.01770922946	0	0.0713025517	0.06265261426	0.03714547686	0.03248731699	30	70	33	7	7	0	69	71
16	91	10.81318681	85.84680923	0.4065934066	0.2857462078	0.9409179049	0.025390625	3	145	0.679662976	96.13894705	9	8.262068966	0.1225280762	0.1084464292	0.003959186568	0.0398444085	0.05304994578	0.02567453532	0	0.003838975947	0.03507539781	0.04746594527	0.02206611013	0	0.08132372866	0.07211566344	0.04120434751	0.03633076572	30	72	38	8	8	0	73	75
17	96	11.53125	97.73093222	0.4166666667	0.2863940448	0.9405385506	0.03515625	6	148	1.143894183	107.8237324	7.333333333	8.77027027	0.1385803223	0.1226000602	0.004578306432	0.04393254118	0.05165355846	0.03407860539	0.004337310791	0.004245528486	0.03872467812	0.04630525993	0.02970003066	0.003624563035	0.09315938713	0.08258625946	0.04542093513	0.04001380077	32	74	36	11	11	1	75	79
18	103	12.04854369	112.3447407	0.4077669903	0.2776714935	0.9300431646	0.048828125	7	156	1.079704323	122.5391751	5.857142857	9.33974359	0.1569213867	0.1398002355	0.00437475123	0.04367556468	0.05652230284	0.03450631041	0.01784245756	0.004343608264	0.0389802951	0.05094062466	0.0301556891	0.01538001835	0.1070884866	0.09522121603	0.04983290016	0.04457901943	33	74	40	12	12	4	79	84
19	105	12.71428571	125.2300992	0.4	0.2621363362	0.9256703133	0.068359375	7	164	1.365317106	136.7294438	7.714285714	9.725609756	0.1755905151	0.1567618965	0.003739908056	0.03953535531	0.06940773786	0.03895844475	0.02394906915	0.0037599028	0.03547261431	0.06268985092	0.0341713487	0.02066817979	0.1224431762	0.1088921648	0.05314733891	0.04786973173	31	73	49	13	13	5	83	88
20	108	13.44444444	140.3708028	0.3888888889	0.2521412139	0.9134170203	0.0859375	8	170	1.868986178	153.3980965	8.125	10.24705882	0.1968612671	0.1770396252	0.004315494827	0.03782038764	0.0715848258	0.05688652163	0.02625403719	0.004194655421	0.03483566842	0.0647432829	0.05062575951	0.02264025891	0.1393135595	0.1243514929	0.05754770759	0.05268813222	32	71	51	19	19	5	86	92
21	111	14.05405405	153.3409726	0.3963963964	0.2530168614	0.8982913609	0.111328125	7	176	1.96593134	167.3013387	7.714285714	10.6875	0.214214325	0.1939057383	0.003930366674	0.03654488767	0.07474688966	0.05681883028	0.04217335067	0.003863085658	0.0338769936	0.06797119311	0.05189700053	0.03629746542	0.1524074277	0.1367147066	0.06180689727	0.0571910317	31	71	53	20	20	8	89	94
22	121	14.26446281	171.4689863	0.3884297521	0.2445271417	0.884857202	0.134765625	9	180	1.684426687	183.6346699	5.222222222	11.27222222	0.2343711853	0.213361085	0.00407208084	0.03732502789	0.07738795974	0.06149625434	0.05408986249	0.004278657195	0.03441505027	0.07145988311	0.05624757866	0.04695991579	0.1693876627	0.1528599623	0.06498352264	0.06050112275	33	72	53	21	21	10	92	97
23	124	14.59677419	184.459374	0.3870967742	0.2393819949	0.8789371967	0.154296875	11	179	2.224640941	195.4423675	4.454545455	11.84916201	0.2513427734	0.22842377	0.0039197209	0.03473254033	0.08720648805	0.05946164958	0.06602237457	0.004025857475	0.03131188953	0.08075133504	0.05478581662	0.05754887131	0.1829052504	0.1650702542	0.06843752308	0.06335351579	32	68	58	20	20	12	93	97
