YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	2.155285359	-nan	1	0.002830505371	0.001568743625	0.0007171630859	0.002113342285	0	0	0	0.0003806815592	0.001188062066	0	0	0	0.001499176025	0.0008405573188	0.001331329346	0.0007281863064	4	6	0	0	0	0	5	5
2	1	2	0.4223772715	0	0	1	0	0	20	0	3.803767742	-nan	1.5	0.004913330078	0.002653209704	0.001754760742	0.003158569336	0	0	0	0.000931969294	0.00172124041	0	0	0	0.002555847168	0.001381374732	0.00235748291	0.001271834973	12	8	0	0	0	0	10	10
3	4	3	1.763221349	0.25	0.2207475188	0.9032139167	0	0	29	0	6.1750352	-nan	2	0.00793838501	0.00434284771	0.002593994141	0.005344390869	0	0	0	0.001395415011	0.0029474327	0	0	0	0.004035949707	0.002203895696	0.003902435303	0.002138952014	16	13	0	0	0	0	15	14
4	5	4	2.573928019	0.2	0.1694554501	0.9739410991	0	0	39	0	9.35966258	-nan	2.487179487	0.01182174683	0.006609773763	0.002300262451	0.009521484375	0	0	0	0.001280339231	0.005329434533	0	0	0	0.006252288818	0.003511282658	0.005569458008	0.003098491106	15	24	0	0	0	0	20	19
5	6	5	3.468034117	0.3333333333	0.2522455707	0.9891565981	0	0	49	0	12.72292698	-nan	2.979591837	0.01588439941	0.008975959702	0.00292371449	0.01296068492	0	0	0	0.001629669687	0.007346290015	0	0	0	0.008966303166	0.005116886669	0.006918096248	0.003859073032	19	30	0	0	0	0	25	24
6	14	4.785714286	7.328167066	0.2142857143	0.1927626322	0.9540208464	0.001953125	0	58	0	16.6260412	-nan	3.5	0.02086257935	0.01176518417	0.003878701723	0.01480950018	0.002174377441	0	0	0.002145082707	0.008401923725	0.00121817774	0	0	0.01234193824	0.007007202474	0.008520641108	0.004757981698	23	33	2	0	0	0	29	29
7	22	5.590909091	12.02841194	0.3181818182	0.2660947828	0.9676558785	0.009765625	0	67	0	21.29055199	-nan	3.940298507	0.0267791748	0.01514280368	0.003339371578	0.01866380225	0.004776000977	0	0	0.001878155115	0.01063925908	0.002625389479	0	0	0.01640119434	0.009310712776	0.01037798046	0.005832090901	21	42	4	0	0	0	33	34
8	26	6.269230769	15.8489963	0.3076923077	0.2512642536	0.9654938414	0.015625	0	77	0	26.73841006	-nan	4.428571429	0.0334815979	0.01908973425	0.003451609028	0.02444527208	0.005584716797	0	0	0.001934982937	0.01405070577	0.003104045545	0	0	0.02096291145	0.01199341391	0.01251868645	0.007096320344	23	50	4	0	0	0	38	39
9	36	6.861111111	22.75550674	0.3055555556	0.24909372	0.9565012539	0.03125	0	86	0	32.8026074	-nan	4.895348837	0.04127883911	0.02353486687	0.003770788174	0.03104269291	0.006465358028	0	0	0.002063784495	0.01783591504	0.003635167338	0	0	0.02658935479	0.01522847508	0.01468948432	0.008306391791	25	57	4	0	0	0	42	44
10	42	7.452380952	29.11454344	0.2619047619	0.2156871468	0.9559648865	0.041015625	1	93	0.04925382002	39.52266111	1	5.451612903	0.05011749268	0.02857934386	0.004428162907	0.02868680786	0.01700252191	0	0	0.002462458171	0.01644549856	0.009671387129	0	0	0.03310465453	0.01895182562	0.01701283814	0.009627518236	28	53	13	0	0	0	46	48
11	48	7.979166667	36.36697007	0.2708333333	0.212647512	0.9473365135	0.052734375	1	103	0.05021626722	47.60482104	2	5.922330097	0.06037521362	0.03461685111	0.004218564701	0.03319217636	0.02045821646	0.002506256104	0	0.002424383999	0.01911345479	0.01169960226	0.001379410055	0	0.04042791223	0.02316427937	0.0199473014	0.01145257173	28	60	15	1	1	0	51	53
12	58	8.431034483	46.13947629	0.2931034483	0.2178898946	0.9440295921	0.064453125	0	114	0	57.13321909	-nan	6.368421053	0.07242202759	0.04171011359	0.00399621375	0.03541923541	0.02527624521	0.007730333217	0	0.002212162799	0.02066900606	0.01451646476	0.004312479979	0	0.04920669992	0.02833192786	0.02321532767	0.01337818573	25	67	19	3	3	0	56	58
13	60	9.283333333	53.71250701	0.3	0.2119262679	0.9429415106	0.076171875	1	122	0.1827112774	67.39702119	1	6.942622951	0.08565139771	0.0496552565	0.003934743886	0.0373090867	0.03327546086	0.01113210627	0	0.002279649311	0.0219831846	0.01907524757	0.006317175017	0	0.05882863646	0.03417265379	0.02682276124	0.01548260271	24	71	24	4	4	0	60	63
14	66	9.96969697	63.72275097	0.303030303	0.2078292112	0.9400597477	0.083984375	3	129	0.3854231542	78.76512059	4.666666667	7.449612403	0.09999465942	0.05843850055	0.003603816849	0.03560897002	0.04832642694	0.01245544562	0	0.002161525068	0.0208862285	0.02827741295	0.007113334041	0	0.06967549254	0.04065899001	0.03031916688	0.01777951054	23	71	34	4	4	0	64	68
15	75	10.37333333	76.11754197	0.2933333333	0.1988596557	0.9391503745	0.091796875	5	135	0.8019729695	90.48791842	5.2	8.037037037	0.1155929565	0.06772678973	0.003151797883	0.03539158287	0.05604086464	0.02100871115	0	0.001888281062	0.02058801984	0.03325897227	0.01199151655	0	0.0818629627	0.04792442483	0.03372999384	0.01980236491	23	71	39	7	7	0	68	72
16	83	10.81927711	88.02987181	0.313253012	0.1911735306	0.9390244939	0.111328125	5	142	0.8138936324	101.6070186	6.2	8.401408451	0.1297874451	0.07638680844	0.003908254451	0.03750760162	0.05259454556	0.03134817992	0.004428863525	0.002330909916	0.02182738115	0.0317098098	0.01806082244	0.002457885141	0.09465030523	0.0555837266	0.03513713983	0.02080308185	28	71	36	11	11	1	71	76
17	97	11.10309278	104.9575106	0.3402061856	0.2020528789	0.9309994656	0.1484375	5	152	0.9167067338	116.309795	6.8	8.861842105	0.1479454041	0.08786378496	0.004009342735	0.04404467769	0.04898395431	0.04168548722	0.009221942085	0.00249621123	0.02580419293	0.02955550282	0.02477584664	0.00523203134	0.1088988665	0.06446061896	0.03904653753	0.02340316599	30	78	32	15	15	2	76	81
18	105	11.8	120.0607396	0.3714285714	0.2125800293	0.9243543003	0.169921875	1	163	0.1536850002	130.9199329	11	9.27607362	0.1658096313	0.09877496099	0.004091178655	0.04653303542	0.04640087043	0.0540435014	0.01474104544	0.002609704393	0.02736832324	0.02836256346	0.03206300454	0.008371365361	0.1228452163	0.07286369142	0.04296441504	0.02591126957	32	79	31	19	19	3	80	84
19	112	12.47321429	136.7442886	0.3928571429	0.2169659593	0.9180269942	0.193359375	4	170	0.3779515038	148.0521889	5.5	9.852941176	0.1872062683	0.1124346307	0.004259524241	0.04463187054	0.04720254668	0.070827602	0.02028472485	0.00282634223	0.02649655231	0.02964238288	0.04164223835	0.01182711491	0.139513925	0.0833095011	0.04769234333	0.02912512957	33	78	35	24	24	4	85	89
20	114	13.36842105	152.2148378	0.3947368421	0.2112709309	0.9095214335	0.216796875	10	174	2.109511928	165.0650503	7.8	10.36206897	0.2105979919	0.127238848	0.004639083811	0.04653457141	0.05381337612	0.07936705719	0.02624390341	0.003114698899	0.02789684546	0.03403356491	0.04684457824	0.01534916051	0.1577383005	0.09479199598	0.05285969145	0.03244685205	34	81	39	25	25	5	90	94
21	118	13.93220339	168.2067591	0.3813559322	0.2041470698	0.911850745	0.248046875	15	175	3.707568501	180.8296165	10.06666667	10.84	0.2325172424	0.1411731307	0.004730007016	0.04581506419	0.05600116978	0.07970757291	0.04626342854	0.003205125843	0.02780578037	0.03576472605	0.04740327532	0.02699422306	0.1743573177	0.1049563884	0.05815992473	0.03621674229	34	81	41	25	25	9	95	95
