YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0.00390625	0	10	0	1.681081888	-nan	1	0.002220153809	0.000457433548	0.0007553100586	0.00146484375	0	0	0	0.0001551290131	0.0003023045349	0	0	0	0.0009803771973	0.0002050180054	0.001239776611	0.0002524155426	6	4	0	0	0	0	5	5
2	1	2	0.3906734916	0	0	0.8180459476	0.0078125	0	20	0	3.871555599	-nan	1.5	0.004913330078	0.001030996237	0.001583099365	0.003330230713	0	0	0	0.0003232111987	0.0007077850386	0	0	0	0.002174377441	0.0004623924348	0.002738952637	0.0005686038024	11	9	0	0	0	0	10	10
3	1	3	0.4835318652	0	0	0.9034374036	0.009765625	0	30	0	6.373604512	-nan	2	0.008075714111	0.001690730186	0.002005758789	0.006069955322	0	0	0	0.0004194067691	0.001271323417	0	0	0	0.003749075439	0.0007982114026	0.004326638672	0.0008925187831	14	16	0	0	0	0	15	15
4	3	3.666666667	1.43076086	0	0	0.9293807915	0.01171875	0	39	0	9.020116602	-nan	2.512820513	0.01128005981	0.00238492689	0.002228440621	0.009051619193	0	0	0	0.0004865845915	0.001898342298	0	0	0	0.005712446617	0.001190289294	0.005567613197	0.001194637596	17	22	0	0	0	0	19	20
5	10	4.4	4.676410222	0.5	0.4461258717	0.9753710262	0.015625	0	49	0	12.49651539	-nan	3	0.01567840576	0.003303010924	0.002752816324	0.01292558944	0	0	0	0.0006033214591	0.002699689465	0	0	0	0.008670286559	0.001806660645	0.007008119203	0.001496350278	20	29	0	0	0	0	24	25
6	17	4.823529412	8.445243806	0.3529411765	0.3245490215	0.9652041261	0.021484375	0	59	0	16.2639983	-nan	3.491525424	0.0206413269	0.004307873952	0.00400055499	0.01552306562	0.001117706299	0	0	0.0008501435316	0.003232597824	0.0002251325965	0	0	0.01160784311	0.002428028015	0.009033483798	0.001879845937	26	32	1	0	0	0	29	30
7	20	5.55	11.18612351	0.35	0.2999535735	0.9699324887	0.029296875	0	68	0	20.21645236	-nan	3.941176471	0.02550506592	0.005363950627	0.003959724684	0.01924889348	0.002296447754	0	0	0.0008372998366	0.004047059468	0.0004795913226	0	0	0.01522737155	0.003189301276	0.01027769436	0.002174649351	27	39	2	0	0	0	33	35
8	26	6.307692308	15.61115429	0.3076923077	0.2630664759	0.9722807724	0.044921875	0	78	0	25.83850026	-nan	4.435897436	0.03257751465	0.006912259279	0.003742756312	0.02400053459	0.004834223746	0	0	0.0008131582226	0.005095310102	0.001003790954	0	0	0.01950278952	0.004176992986	0.01307472513	0.002735266292	26	48	4	0	0	0	38	40
9	28	7.178571429	19.0232273	0.25	0.2110985269	0.9779751605	0.056640625	0	84	0	30.90842982	-nan	4.94047619	0.03910827637	0.008313831112	0.003641326745	0.02764055412	0.0078263955	0	0	0.000786301903	0.005890702436	0.001636826773	0	0	0.02440617919	0.005236914409	0.01470209718	0.003076916703	24	54	6	0	0	0	41	43
10	36	7.805555556	25.65031801	0.3055555556	0.2379292298	0.9754662884	0.07421875	0	94	0	37.81840702	-nan	5.414893617	0.04785919189	0.01023152639	0.004682942728	0.0273734276	0.01580282156	0	0	0.0009910585307	0.00590509922	0.003335368637	0	0	0.03057988978	0.006567080706	0.01727930211	0.003664445682	28	54	12	0	0	0	46	48
